Keyword,Type,Lesson,Relevant Code
Intent.EXTRA_TEXT,java,UD.GDC.AD.5.9,"UD.GDC.AD.T04a.03, UD.GDC.AD.S04.02"
intro to implicit intents,java,"UD.GDC.AD.5.11, UD.GDC.AD.5.12",N/A
Uri.parse,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01
open Web page intent,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01
resolveActivity,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01
getPackageManager,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01
Intent.ACTION_VIEW,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01
intro to open map intent / URLs,java,UD.GDC.AD.5.14,N/A
geo Uri,java,UD.GDC.AD.5.16,N/A
Uri.Builder,java,"UD.GDC.AD.5.16, UD.GDC.AD.5.17","UD.GDC.AD.T04b.02, UD.GDC.AD.S04.03"
Uri builder.scheme,java,"UD.GDC.AD.5.16, UD.GDC.AD.5.17","UD.GDC.AD.T04b.02, UD.GDC.AD.S04.03"
Uri builder.path,java,"UD.GDC.AD.5.16, UD.GDC.AD.5.17","UD.GDC.AD.T04b.02, UD.GDC.AD.S04.03"
Uri builder.query,java,"UD.GDC.AD.5.16, UD.GDC.AD.5.17","UD.GDC.AD.T04b.02, UD.GDC.AD.S04.03"
Intent.setData,java,"UD.GDC.AD.5.16, UD.GDC.AD.5.17","UD.GDC.AD.T04b.02, UD.GDC.AD.S04.03"
intro to ShareIntent / ShareCompat,java,UD.GDC.AD.5.18,N/A
intro to Media Type / MIME,java,UD.GDC.AD.5.19,N/A
ShareCompat.IntentBuilder,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
ShareCompat setChooserTitle,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
ShareCompat setType,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
ShareCompat setText,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
mime,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
