Keyword,Type,Lesson,Relevant Code,Source
intro to RecyclerView,lesson,UD.GDC.AD.4.2;UD.GDC.AD.4.3;UD.GDC.AD.4.4;UD.GDC.AD.4.5;UD.GDC.AD.4.7;UD.GDC.AD.4.8,N/A,COURSE
com.android.support:recyclerview,gradle,UD.GDC.AD.4.9;UD.GDC.AD.4.22,UD.GDC.AD.T03.01;UD.GDC.AD.S03.01,COURSE
RecycleView compile,gradle,UD.GDC.AD.4.9;UD.GDC.AD.4.22,UD.GDC.AD.T03.01;UD.GDC.AD.S03.01,COURSE
RecycleView dependency,gradle,UD.GDC.AD.4.9;UD.GDC.AD.4.22,UD.GDC.AD.T03.01;UD.GDC.AD.S03.01,COURSE
RecycleView,resource xml,UD.GDC.AD.4.9;UD.GDC.AD.4.22,UD.GDC.AD.T03.01;UD.GDC.AD.S03.01,COURSE
sp units,lesson,UD.GDC.AD.4.10;UD.GDC.AD.13.8;UD.GDC.AD.13.15,N/A,COURSE
dp units,lesson,UD.GDC.AD.4.10;UD.GDC.AD.13.8;UD.GDC.AD.13.15,N/A,COURSE
intro to RecycleView Adapter,lesson,UD.GDC.AD.4.10,N/A,COURSE
intro to ViewHolder,lesson,UD.GDC.AD.4.10,N/A,COURSE
RecycleView item layout,resource xml,UD.GDC.AD.4.11;UD.GDC.AD.4.22,UD.GDC.AD.T03.02;UD.GDC.AD.S03.01,COURSE
fontFamily,resource xml,UD.GDC.AD.4.11,UD.GDC.AD.T03.02,COURSE
RecycleView ViewHolder,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02,COURSE
RecycleView bind,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02,COURSE
String.valueOf,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02,COURSE
RecycleView Adapter,lesson,UD.GDC.AD.4.12,N/A,COURSE
RecycleView onCreateViewHolder,lesson,UD.GDC.AD.4.12,N/A,COURSE
RecycleView onBindViewHolder,lesson,UD.GDC.AD.4.12,N/A,COURSE
RecycleView Adapter,java,UD.GDC.AD.4.14;UD.GDC.AD.4.15;UD.GDC.AD.4.22,UD.GDC.AD.T03.03;UD.GDC.AD.S03.01,COURSE
RecycleView onCreateViewHolder,java,UD.GDC.AD.4.14;UD.GDC.AD.4.15;UD.GDC.AD.4.22,UD.GDC.AD.T03.03;UD.GDC.AD.S03.01,COURSE
RecycleView onBindViewHolder,java,UD.GDC.AD.4.14;UD.GDC.AD.4.15;UD.GDC.AD.4.22,UD.GDC.AD.T03.03;UD.GDC.AD.S03.01,COURSE
RecycleView getItemCount,java,UD.GDC.AD.4.14;UD.GDC.AD.4.15;UD.GDC.AD.4.22,UD.GDC.AD.T03.03;UD.GDC.AD.S03.01,COURSE
intro to RecycleView LayoutManager,java,UD.GDC.AD.4.16;UD.GDC.AD.4.17;UD.GDC.AD.4.19,N/A,COURSE
RecycleView setLayoutManager,java,UD.GDC.AD.4.18;UD.GDC.AD.4.22,UD.GDC.AD.T03.04;UD.GDC.AD.S03.01,COURSE
RecycleView setHasFixedSize,java,UD.GDC.AD.4.17;UD.GDC.AD.4.18;UD.GDC.AD.4.22,UD.GDC.AD.T03.04;UD.GDC.AD.S03.01,COURSE
RecycleView setAdapter,java,UD.GDC.AD.4.17;UD.GDC.AD.4.18;UD.GDC.AD.4.22,UD.GDC.AD.T03.04;UD.GDC.AD.S03.01,COURSE
RecycleView ItemClickListener,java,UD.GDC.AD.4.20,N/A,COURSE
Toast management,java,UD.GDC.AD.4.20,N/A,COURSE
RecycleView notifyDataSetChanged,java,UD.GDC.AD.4.22;UD.GDC.AD.8.15,UD.GDC.AD.S03.01;UD.GDC.AD.T07.05,COURSE
RecycleView refresh/reset,java,UD.GDC.AD.4.19;UD.GDC.AD.4.22,UD.GDC.AD.T03.06;UD.GDC.AD.S03.01,COURSE
RecycleView viewHolderCount,java,UD.GDC.AD.4.19,UD.GDC.AD.T03.05,COURSE
RecycleView OnClickHandler interface,java,UD.GDC.AD.4.21;UD.GDC.AD.4.23;UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.T03.07;UD.GDC.AD.S03.02;UD.GDC.AD.S09.05,COURSE
RecycleView ItemClickListener/ItemClickHandler,java,UD.GDC.AD.4.21;UD.GDC.AD.4.23,UD.GDC.AD.T03.07;UD.GDC.AD.S03.02,COURSE
RecycleView onListItemClick/onClick,java,UD.GDC.AD.4.21;UD.GDC.AD.4.23;UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.T03.07;UD.GDC.AD.S03.02;UD.GDC.AD.S09.05,COURSE
RecycleView with AsyncTask for data loading,java,UD.GDC.AD.4.22,UD.GDC.AD.S03.01,COURSE
intro to intents,java,UD.GDC.AD.5.3;UD.GDC.AD.5.7,N/A,COURSE
create activity,java,UD.GDC.AD.5.5;UD.GDC.AD.5.6,UD.GDC.AD.T04a.01;UD.GDC.AD.S04.01,COURSE
android:parentActivityName,java,UD.GDC.AD.5.6,UD.GDC.AD.T04a.01;UD.GDC.AD.S04.01,COURSE
activity meta-data,java,UD.GDC.AD.5.6,UD.GDC.AD.T04a.01;UD.GDC.AD.S04.01,COURSE
android.support.PARENT_ACTIVITY,java,UD.GDC.AD.5.6,UD.GDC.AD.T04a.01;UD.GDC.AD.S04.01,COURSE
back arrow (up button) in menu,resource xml,UD.GDC.AD.5.6,UD.GDC.AD.T04a.01;UD.GDC.AD.S04.01,COURSE
create Intent,java,UD.GDC.AD.5.8,UD.GDC.AD.T04a.02;UD.GDC.AD.S04.02,COURSE
startActivity,java,UD.GDC.AD.5.8,UD.GDC.AD.T04a.02;UD.GDC.AD.S04.02,COURSE
putExtra,java,UD.GDC.AD.5.9,UD.GDC.AD.T04a.03;UD.GDC.AD.S04.02,COURSE
getIntent,java,UD.GDC.AD.5.9,UD.GDC.AD.T04a.03;UD.GDC.AD.S04.02,COURSE
hasExtra,java,UD.GDC.AD.5.9,UD.GDC.AD.T04a.03;UD.GDC.AD.S04.02,COURSE
getStringExtra,java,UD.GDC.AD.5.9,UD.GDC.AD.T04a.03;UD.GDC.AD.S04.02,COURSE
Intent.EXTRA_TEXT,java,UD.GDC.AD.5.9,UD.GDC.AD.T04a.03;UD.GDC.AD.S04.02,COURSE
intro to implicit intents,java,UD.GDC.AD.5.11;UD.GDC.AD.5.12,N/A,COURSE
Uri.parse,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01,COURSE
open Web page intent,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01,COURSE
resolveActivity,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01,COURSE
getPackageManager,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01,COURSE
Intent.ACTION_VIEW,java,UD.GDC.AD.5.13,UD.GDC.AD.T04b.01,COURSE
intro to open map intent / URLs,java,UD.GDC.AD.5.14,N/A,COURSE
geo Uri,java,UD.GDC.AD.5.16,N/A,COURSE
Uri.Builder,java,UD.GDC.AD.5.16;UD.GDC.AD.5.17,UD.GDC.AD.T04b.02;UD.GDC.AD.S04.03,COURSE
Uri builder.scheme,java,UD.GDC.AD.5.16;UD.GDC.AD.5.17,UD.GDC.AD.T04b.02;UD.GDC.AD.S04.03,COURSE
Uri builder.path,java,UD.GDC.AD.5.16;UD.GDC.AD.5.17,UD.GDC.AD.T04b.02;UD.GDC.AD.S04.03,COURSE
Uri builder.query,java,UD.GDC.AD.5.16;UD.GDC.AD.5.17,UD.GDC.AD.T04b.02;UD.GDC.AD.S04.03,COURSE
Intent.setData,java,UD.GDC.AD.5.16;UD.GDC.AD.5.17,UD.GDC.AD.T04b.02;UD.GDC.AD.S04.03,COURSE
intro to ShareIntent / ShareCompat,java,UD.GDC.AD.5.18,N/A,COURSE
intro to Media Type / MIME,java,UD.GDC.AD.5.19,N/A,COURSE
ShareCompat.IntentBuilder,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
ShareCompat setChooserTitle,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
ShareCompat setType,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
ShareCompat setText,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
mime,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
ShareCompat setChooserTitle,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
ShareCompat startChooser,java,UD.GDC.AD.5.20;UD.GDC.AD.5.21,UD.GDC.AD.T04b.03;UD.GDC.AD.S04.03,COURSE
intro to activity lifecyle,lesson,UD.GDC.AD.6.3;UD.GDC.AD.6.4;UD.GDC.AD.6.6,N/A,COURSE
activity lifecyle onStart,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
activity lifecyle onPause,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
activity lifecyle onStop,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
activity lifecyle onDestry,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
